Title,Rank,Mean Score,Genres,Number of Episodes,Media Type,Studios,Start Date
Clannad: After Story,18,8.93,"[{'id': 8, 'name': 'Drama'}, {'id': 22, 'name': 'Romance'}, {'id': 37, 'name': 'Supernatural'}]",24,tv,"[{'id': 2, 'name': 'Kyoto Animation'}]",2008-10-03
Koe no Katachi,19,8.93,"[{'id': 46, 'name': 'Award Winning'}, {'id': 8, 'name': 'Drama'}, {'id': 74, 'name': 'Romantic Subtext'}, {'id': 27, 'name': 'Shounen'}]",1,movie,"[{'id': 2, 'name': 'Kyoto Animation'}]",2016-09-17
Code Geass: Hangyaku no Lelouch R2,20,8.91,"[{'id': 1, 'name': 'Action'}, {'id': 46, 'name': 'Award Winning'}, {'id': 8, 'name': 'Drama'}, {'id': 18, 'name': 'Mecha'}, {'id': 38, 'name': 'Military'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 31, 'name': 'Super Power'}]",25,tv,"[{'id': 14, 'name': 'Sunrise'}]",2008-04-06
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,21,8.91,"[{'id': 1, 'name': 'Action'}, {'id': 4, 'name': 'Comedy'}, {'id': 57, 'name': 'Gag Humor'}, {'id': 13, 'name': 'Historical'}, {'id': 20, 'name': 'Parody'}, {'id': 21, 'name': 'Samurai'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 27, 'name': 'Shounen'}, {'id': 78, 'name': 'Time Travel'}]",1,movie,"[{'id': 14, 'name': 'Sunrise'}]",2013-07-06
Violet Evergarden Movie,22,8.89,"[{'id': 46, 'name': 'Award Winning'}, {'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}]",1,movie,"[{'id': 2, 'name': 'Kyoto Animation'}]",2020-09-18
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,23,8.88,"[{'id': 1, 'name': 'Action'}, {'id': 4, 'name': 'Comedy'}, {'id': 57, 'name': 'Gag Humor'}, {'id': 13, 'name': 'Historical'}, {'id': 20, 'name': 'Parody'}, {'id': 21, 'name': 'Samurai'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 27, 'name': 'Shounen'}]",14,tv,"[{'id': 1258, 'name': 'Bandai Namco Pictures'}]",2018-07-09
Owarimonogatari 2nd Season,24,8.88,"[{'id': 4, 'name': 'Comedy'}, {'id': 7, 'name': 'Mystery'}, {'id': 37, 'name': 'Supernatural'}, {'id': 32, 'name': 'Vampire'}]",7,tv,"[{'id': 44, 'name': 'Shaft'}]",2017-08-12
Monster,25,8.87,"[{'id': 50, 'name': 'Adult Cast'}, {'id': 8, 'name': 'Drama'}, {'id': 7, 'name': 'Mystery'}, {'id': 40, 'name': 'Psychological'}, {'id': 42, 'name': 'Seinen'}, {'id': 41, 'name': 'Suspense'}]",74,tv,"[{'id': 11, 'name': 'Madhouse'}]",2004-04-07
Jujutsu Kaisen 2nd Season,26,8.85,"[{'id': 1, 'name': 'Action'}, {'id': 10, 'name': 'Fantasy'}, {'id': 23, 'name': 'School'}, {'id': 27, 'name': 'Shounen'}]",23,tv,"[{'id': 569, 'name': 'MAPPA'}]",2023-07-06
Kimi no Na wa.,27,8.84,"[{'id': 46, 'name': 'Award Winning'}, {'id': 8, 'name': 'Drama'}, {'id': 74, 'name': 'Romantic Subtext'}, {'id': 37, 'name': 'Supernatural'}]",1,movie,"[{'id': 291, 'name': 'CoMix Wave Films'}]",2016-08-26
