Title,Rank,Mean Score,Genres,Number of Episodes,Media Type,Studios,Start Date
Natsume Yuujinchou Shi,74,8.64,"[{'id': 8, 'name': 'Drama'}, {'id': 63, 'name': 'Iyashikei'}, {'id': 6, 'name': 'Mythology'}, {'id': 25, 'name': 'Shoujo'}, {'id': 36, 'name': 'Slice of Life'}, {'id': 37, 'name': 'Supernatural'}]",13,tv,"[{'id': 112, 'name': ""Brain's Base""}]",2012-01-03
Kage no Jitsuryokusha ni Naritakute! 2nd Season,75,8.64,"[{'id': 1, 'name': 'Action'}, {'id': 4, 'name': 'Comedy'}, {'id': 10, 'name': 'Fantasy'}, {'id': 62, 'name': 'Isekai'}, {'id': 72, 'name': 'Reincarnation'}]",12,tv,"[{'id': 852, 'name': 'Nexus'}]",2023-10-04
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,76,8.64,"[{'id': 4, 'name': 'Comedy'}, {'id': 40, 'name': 'Psychological'}, {'id': 74, 'name': 'Romantic Subtext'}, {'id': 23, 'name': 'School'}, {'id': 42, 'name': 'Seinen'}]",12,tv,"[{'id': 56, 'name': 'A-1 Pictures'}]",2020-04-11
Haikyuu!! Second Season,77,8.63,"[{'id': 23, 'name': 'School'}, {'id': 27, 'name': 'Shounen'}, {'id': 30, 'name': 'Sports'}, {'id': 77, 'name': 'Team Sports'}]",25,tv,"[{'id': 10, 'name': 'Production I.G'}]",2015-10-04
Jujutsu Kaisen,78,8.63,"[{'id': 1, 'name': 'Action'}, {'id': 46, 'name': 'Award Winning'}, {'id': 10, 'name': 'Fantasy'}, {'id': 23, 'name': 'School'}, {'id': 27, 'name': 'Shounen'}]",24,tv,"[{'id': 569, 'name': 'MAPPA'}]",2020-10-03
Tengen Toppa Gurren Lagann,79,8.63,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 46, 'name': 'Award Winning'}, {'id': 18, 'name': 'Mecha'}, {'id': 24, 'name': 'Sci-Fi'}]",27,tv,"[{'id': 6, 'name': 'Gainax'}]",2007-04-01
Death Note,80,8.62,"[{'id': 39, 'name': 'Detective'}, {'id': 40, 'name': 'Psychological'}, {'id': 27, 'name': 'Shounen'}, {'id': 37, 'name': 'Supernatural'}, {'id': 41, 'name': 'Suspense'}]",37,tv,"[{'id': 11, 'name': 'Madhouse'}]",2006-10-04
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,81,8.62,"[{'id': 2, 'name': 'Adventure'}, {'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 58, 'name': 'Gore'}, {'id': 7, 'name': 'Mystery'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 76, 'name': 'Survival'}]",1,movie,"[{'id': 290, 'name': 'Kinema Citrus'}]",2020-01-17
Natsume Yuujinchou Roku,82,8.62,"[{'id': 8, 'name': 'Drama'}, {'id': 63, 'name': 'Iyashikei'}, {'id': 6, 'name': 'Mythology'}, {'id': 25, 'name': 'Shoujo'}, {'id': 36, 'name': 'Slice of Life'}, {'id': 37, 'name': 'Supernatural'}]",11,tv,"[{'id': 1119, 'name': 'Shuka'}]",2017-04-12
Ping Pong the Animation,83,8.62,"[{'id': 46, 'name': 'Award Winning'}, {'id': 8, 'name': 'Drama'}, {'id': 42, 'name': 'Seinen'}, {'id': 30, 'name': 'Sports'}]",11,tv,"[{'id': 103, 'name': 'Tatsunoko Production'}]",2014-04-11
Shingeki no Kyojin Season 3,84,8.62,"[{'id': 1, 'name': 'Action'}, {'id': 8, 'name': 'Drama'}, {'id': 58, 'name': 'Gore'}, {'id': 38, 'name': 'Military'}, {'id': 27, 'name': 'Shounen'}, {'id': 76, 'name': 'Survival'}, {'id': 41, 'name': 'Suspense'}]",12,tv,"[{'id': 858, 'name': 'Wit Studio'}]",2018-07-23
Kimetsu no Yaiba Movie: Mugen Ressha-hen,85,8.61,"[{'id': 1, 'name': 'Action'}, {'id': 10, 'name': 'Fantasy'}, {'id': 13, 'name': 'Historical'}, {'id': 27, 'name': 'Shounen'}]",1,movie,"[{'id': 43, 'name': 'ufotable'}]",2020-10-16
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,86,8.6,"[{'id': 8, 'name': 'Drama'}, {'id': 22, 'name': 'Romance'}, {'id': 23, 'name': 'School'}, {'id': 37, 'name': 'Supernatural'}]",1,movie,"[{'id': 1835, 'name': 'CloverWorks'}]",2019-06-15
Suzumiya Haruhi no Shoushitsu,87,8.6,"[{'id': 46, 'name': 'Award Winning'}, {'id': 7, 'name': 'Mystery'}, {'id': 23, 'name': 'School'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 37, 'name': 'Supernatural'}]",1,movie,"[{'id': 2, 'name': 'Kyoto Animation'}]",2010-02-06
Cyberpunk: Edgerunners,88,8.6,"[{'id': 1, 'name': 'Action'}, {'id': 58, 'name': 'Gore'}, {'id': 40, 'name': 'Psychological'}, {'id': 24, 'name': 'Sci-Fi'}]",10,ona,"[{'id': 803, 'name': 'Trigger'}]",2022-09-13
Evangelion: 3.0+1.0 Thrice Upon a Time,89,8.6,"[{'id': 1, 'name': 'Action'}, {'id': 46, 'name': 'Award Winning'}, {'id': 8, 'name': 'Drama'}, {'id': 18, 'name': 'Mecha'}, {'id': 40, 'name': 'Psychological'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 41, 'name': 'Suspense'}]",1,movie,"[{'id': 47, 'name': 'Khara'}]",2021-03-08
Hajime no Ippo: Rising,90,8.6,"[{'id': 54, 'name': 'Combat Sports'}, {'id': 27, 'name': 'Shounen'}, {'id': 30, 'name': 'Sports'}]",25,tv,"[{'id': 11, 'name': 'Madhouse'}, {'id': 569, 'name': 'MAPPA'}]",2013-10-06
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,91,8.6,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 27, 'name': 'Shounen'}, {'id': 37, 'name': 'Supernatural'}]",14,ona,"[{'id': 287, 'name': 'David Production'}]",2022-12-01
Mushishi Zoku Shou: Suzu no Shizuku,92,8.59,"[{'id': 50, 'name': 'Adult Cast'}, {'id': 2, 'name': 'Adventure'}, {'id': 13, 'name': 'Historical'}, {'id': 63, 'name': 'Iyashikei'}, {'id': 7, 'name': 'Mystery'}, {'id': 42, 'name': 'Seinen'}, {'id': 36, 'name': 'Slice of Life'}, {'id': 37, 'name': 'Supernatural'}]",1,movie,"[{'id': 8, 'name': 'Artland'}]",2015-05-16
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,93,8.58,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 68, 'name': 'Organized Crime'}, {'id': 27, 'name': 'Shounen'}, {'id': 37, 'name': 'Supernatural'}]",39,tv,"[{'id': 287, 'name': 'David Production'}]",2018-10-06
Spy x Family,94,8.58,"[{'id': 1, 'name': 'Action'}, {'id': 46, 'name': 'Award Winning'}, {'id': 53, 'name': 'Childcare'}, {'id': 4, 'name': 'Comedy'}, {'id': 27, 'name': 'Shounen'}]",12,tv,"[{'id': 858, 'name': 'Wit Studio'}, {'id': 1835, 'name': 'CloverWorks'}]",2022-04-09
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,95,8.57,"[{'id': 1, 'name': 'Action'}, {'id': 18, 'name': 'Mecha'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 29, 'name': 'Space'}, {'id': 31, 'name': 'Super Power'}]",1,movie,"[{'id': 6, 'name': 'Gainax'}]",2009-04-22
Kenpuu Denki Berserk,96,8.57,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 58, 'name': 'Gore'}, {'id': 14, 'name': 'Horror'}, {'id': 38, 'name': 'Military'}, {'id': 42, 'name': 'Seinen'}]",25,tv,"[{'id': 28, 'name': 'OLM'}]",1997-10-08
Kizumonogatari II: Nekketsu-hen,97,8.57,"[{'id': 1, 'name': 'Action'}, {'id': 7, 'name': 'Mystery'}, {'id': 37, 'name': 'Supernatural'}, {'id': 32, 'name': 'Vampire'}]",1,movie,"[{'id': 44, 'name': 'Shaft'}]",2016-08-19
Natsume Yuujinchou Go,98,8.57,"[{'id': 8, 'name': 'Drama'}, {'id': 63, 'name': 'Iyashikei'}, {'id': 6, 'name': 'Mythology'}, {'id': 25, 'name': 'Shoujo'}, {'id': 36, 'name': 'Slice of Life'}, {'id': 37, 'name': 'Supernatural'}]",11,tv,"[{'id': 1119, 'name': 'Shuka'}]",2016-10-05
Natsume Yuujinchou San,99,8.57,"[{'id': 8, 'name': 'Drama'}, {'id': 63, 'name': 'Iyashikei'}, {'id': 6, 'name': 'Mythology'}, {'id': 25, 'name': 'Shoujo'}, {'id': 36, 'name': 'Slice of Life'}, {'id': 37, 'name': 'Supernatural'}]",13,tv,"[{'id': 112, 'name': ""Brain's Base""}]",2011-07-05
Ookami Kodomo no Ame to Yuki,100,8.57,"[{'id': 46, 'name': 'Award Winning'}, {'id': 53, 'name': 'Childcare'}, {'id': 10, 'name': 'Fantasy'}, {'id': 36, 'name': 'Slice of Life'}]",1,movie,"[{'id': 555, 'name': 'Studio Chizu'}]",2012-07-21
Shouwa Genroku Rakugo Shinjuu,101,8.57,"[{'id': 8, 'name': 'Drama'}, {'id': 13, 'name': 'Historical'}, {'id': 43, 'name': 'Josei'}, {'id': 64, 'name': 'Love Polygon'}, {'id': 70, 'name': 'Performing Arts'}]",13,tv,"[{'id': 37, 'name': 'Studio Deen'}]",2016-01-09
Yojouhan Shinwa Taikei,102,8.56,"[{'id': 50, 'name': 'Adult Cast'}, {'id': 46, 'name': 'Award Winning'}, {'id': 4, 'name': 'Comedy'}, {'id': 7, 'name': 'Mystery'}, {'id': 40, 'name': 'Psychological'}, {'id': 22, 'name': 'Romance'}, {'id': 78, 'name': 'Time Travel'}]",11,tv,"[{'id': 11, 'name': 'Madhouse'}]",2010-04-23
Kimi no Suizou wo Tabetai,103,8.55,"[{'id': 8, 'name': 'Drama'}, {'id': 22, 'name': 'Romance'}, {'id': 23, 'name': 'School'}]",1,movie,"[{'id': 1244, 'name': 'Studio VOLN'}]",2018-09-01
Neon Genesis Evangelion: The End of Evangelion,104,8.55,"[{'id': 5, 'name': 'Avant Garde'}, {'id': 8, 'name': 'Drama'}, {'id': 18, 'name': 'Mecha'}, {'id': 40, 'name': 'Psychological'}, {'id': 24, 'name': 'Sci-Fi'}]",1,movie,"[{'id': 6, 'name': 'Gainax'}, {'id': 10, 'name': 'Production I.G'}]",1997-07-19
Fate/Zero 2nd Season,105,8.55,"[{'id': 1, 'name': 'Action'}, {'id': 10, 'name': 'Fantasy'}, {'id': 37, 'name': 'Supernatural'}]",12,tv,"[{'id': 43, 'name': 'ufotable'}]",2012-04-08
Fruits Basket 2nd Season,106,8.55,"[{'id': 8, 'name': 'Drama'}, {'id': 22, 'name': 'Romance'}, {'id': 23, 'name': 'School'}, {'id': 25, 'name': 'Shoujo'}, {'id': 37, 'name': 'Supernatural'}]",25,tv,"[{'id': 73, 'name': 'TMS Entertainment'}]",2020-04-07
Haikyuu!! To the Top Part 2,107,8.55,"[{'id': 23, 'name': 'School'}, {'id': 27, 'name': 'Shounen'}, {'id': 30, 'name': 'Sports'}, {'id': 77, 'name': 'Team Sports'}]",12,tv,"[{'id': 10, 'name': 'Production I.G'}]",2020-10-03
Chainsaw Man,108,8.54,"[{'id': 1, 'name': 'Action'}, {'id': 10, 'name': 'Fantasy'}, {'id': 58, 'name': 'Gore'}, {'id': 27, 'name': 'Shounen'}]",12,tv,"[{'id': 569, 'name': 'MAPPA'}]",2022-10-12
Zoku Natsume Yuujinchou,109,8.54,"[{'id': 8, 'name': 'Drama'}, {'id': 63, 'name': 'Iyashikei'}, {'id': 6, 'name': 'Mythology'}, {'id': 25, 'name': 'Shoujo'}, {'id': 36, 'name': 'Slice of Life'}, {'id': 37, 'name': 'Supernatural'}]",13,tv,"[{'id': 112, 'name': ""Brain's Base""}]",2009-01-06
Nana,110,8.54,"[{'id': 50, 'name': 'Adult Cast'}, {'id': 8, 'name': 'Drama'}, {'id': 64, 'name': 'Love Polygon'}, {'id': 19, 'name': 'Music'}, {'id': 22, 'name': 'Romance'}, {'id': 25, 'name': 'Shoujo'}]",47,tv,"[{'id': 11, 'name': 'Madhouse'}]",2006-04-05
Perfect Blue,111,8.54,"[{'id': 50, 'name': 'Adult Cast'}, {'id': 5, 'name': 'Avant Garde'}, {'id': 8, 'name': 'Drama'}, {'id': 14, 'name': 'Horror'}, {'id': 40, 'name': 'Psychological'}, {'id': 75, 'name': 'Showbiz'}]",1,movie,"[{'id': 11, 'name': 'Madhouse'}]",1998-02-28
Shingeki no Kyojin,112,8.54,"[{'id': 1, 'name': 'Action'}, {'id': 46, 'name': 'Award Winning'}, {'id': 8, 'name': 'Drama'}, {'id': 58, 'name': 'Gore'}, {'id': 38, 'name': 'Military'}, {'id': 27, 'name': 'Shounen'}, {'id': 76, 'name': 'Survival'}, {'id': 41, 'name': 'Suspense'}]",25,tv,"[{'id': 858, 'name': 'Wit Studio'}]",2013-04-07
Shoujo☆Kageki Revue Starlight Movie,113,8.54,"[{'id': 8, 'name': 'Drama'}, {'id': 19, 'name': 'Music'}, {'id': 70, 'name': 'Performing Arts'}, {'id': 23, 'name': 'School'}]",1,movie,"[{'id': 290, 'name': 'Kinema Citrus'}]",2021-06-04
Slam Dunk,114,8.54,"[{'id': 23, 'name': 'School'}, {'id': 27, 'name': 'Shounen'}, {'id': 30, 'name': 'Sports'}, {'id': 77, 'name': 'Team Sports'}]",101,tv,"[{'id': 18, 'name': 'Toei Animation'}]",1993-10-16
Mushishi: Hihamukage,115,8.53,"[{'id': 50, 'name': 'Adult Cast'}, {'id': 2, 'name': 'Adventure'}, {'id': 13, 'name': 'Historical'}, {'id': 63, 'name': 'Iyashikei'}, {'id': 7, 'name': 'Mystery'}, {'id': 42, 'name': 'Seinen'}, {'id': 36, 'name': 'Slice of Life'}, {'id': 37, 'name': 'Supernatural'}]",1,special,"[{'id': 8, 'name': 'Artland'}]",2014-01-04
Ousama Ranking,116,8.53,"[{'id': 2, 'name': 'Adventure'}, {'id': 10, 'name': 'Fantasy'}]",23,tv,"[{'id': 858, 'name': 'Wit Studio'}]",2021-10-15
Bakuman. 3rd Season,117,8.53,"[{'id': 4, 'name': 'Comedy'}, {'id': 8, 'name': 'Drama'}, {'id': 69, 'name': 'Otaku Culture'}, {'id': 22, 'name': 'Romance'}, {'id': 27, 'name': 'Shounen'}]",25,tv,"[{'id': 7, 'name': 'J.C.Staff'}]",2012-10-06
Steins;Gate 0,118,8.53,"[{'id': 8, 'name': 'Drama'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 41, 'name': 'Suspense'}, {'id': 78, 'name': 'Time Travel'}]",23,tv,"[{'id': 314, 'name': 'White Fox'}]",2018-04-12
Yuru Camp△ Season 2,119,8.53,"[{'id': 52, 'name': 'CGDCT'}, {'id': 63, 'name': 'Iyashikei'}, {'id': 36, 'name': 'Slice of Life'}]",13,tv,"[{'id': 1075, 'name': 'C-Station'}]",2021-01-07
Sora yori mo Tooi Basho,120,8.52,"[{'id': 2, 'name': 'Adventure'}, {'id': 52, 'name': 'CGDCT'}, {'id': 4, 'name': 'Comedy'}, {'id': 8, 'name': 'Drama'}]",13,tv,"[{'id': 11, 'name': 'Madhouse'}]",2018-01-02
Kara no Kyoukai Movie 5: Mujun Rasen,121,8.52,"[{'id': 1, 'name': 'Action'}, {'id': 8, 'name': 'Drama'}, {'id': 7, 'name': 'Mystery'}, {'id': 22, 'name': 'Romance'}, {'id': 37, 'name': 'Supernatural'}, {'id': 41, 'name': 'Suspense'}]",1,movie,"[{'id': 43, 'name': 'ufotable'}]",2008-08-16
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,122,8.52,"[{'id': 1, 'name': 'Action'}, {'id': 50, 'name': 'Adult Cast'}, {'id': 39, 'name': 'Detective'}, {'id': 18, 'name': 'Mecha'}, {'id': 38, 'name': 'Military'}, {'id': 7, 'name': 'Mystery'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 42, 'name': 'Seinen'}]",26,tv,"[{'id': 10, 'name': 'Production I.G'}]",2004-01-01
Gintama Movie 1: Shinyaku Benizakura-hen,123,8.52,"[{'id': 1, 'name': 'Action'}, {'id': 4, 'name': 'Comedy'}, {'id': 13, 'name': 'Historical'}, {'id': 20, 'name': 'Parody'}, {'id': 21, 'name': 'Samurai'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 27, 'name': 'Shounen'}]",1,movie,"[{'id': 14, 'name': 'Sunrise'}]",2010-04-24
Gintama.: Porori-hen,124,8.52,"[{'id': 1, 'name': 'Action'}, {'id': 4, 'name': 'Comedy'}, {'id': 57, 'name': 'Gag Humor'}, {'id': 13, 'name': 'Historical'}, {'id': 20, 'name': 'Parody'}, {'id': 21, 'name': 'Samurai'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 27, 'name': 'Shounen'}]",13,tv,"[{'id': 1258, 'name': 'Bandai Namco Pictures'}]",2017-10-02
Hotaru no Haka,125,8.51,"[{'id': 8, 'name': 'Drama'}, {'id': 13, 'name': 'Historical'}]",1,movie,"[{'id': 21, 'name': 'Studio Ghibli'}]",1988-04-16
Samurai Champloo,126,8.51,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 4, 'name': 'Comedy'}, {'id': 13, 'name': 'Historical'}, {'id': 21, 'name': 'Samurai'}]",26,tv,"[{'id': 32, 'name': 'Manglobe'}]",2004-05-20
Shingeki no Kyojin Season 2,127,8.51,"[{'id': 1, 'name': 'Action'}, {'id': 8, 'name': 'Drama'}, {'id': 58, 'name': 'Gore'}, {'id': 38, 'name': 'Military'}, {'id': 27, 'name': 'Shounen'}, {'id': 76, 'name': 'Survival'}, {'id': 41, 'name': 'Suspense'}]",12,tv,"[{'id': 858, 'name': 'Wit Studio'}]",2017-04-01
One Punch Man,128,8.5,"[{'id': 1, 'name': 'Action'}, {'id': 50, 'name': 'Adult Cast'}, {'id': 4, 'name': 'Comedy'}, {'id': 20, 'name': 'Parody'}, {'id': 42, 'name': 'Seinen'}, {'id': 31, 'name': 'Super Power'}]",12,tv,"[{'id': 11, 'name': 'Madhouse'}]",2015-10-05
Summertime Render,129,8.5,"[{'id': 7, 'name': 'Mystery'}, {'id': 27, 'name': 'Shounen'}, {'id': 37, 'name': 'Supernatural'}, {'id': 41, 'name': 'Suspense'}, {'id': 78, 'name': 'Time Travel'}]",25,tv,"[{'id': 28, 'name': 'OLM'}]",2022-04-15
Yakusoku no Neverland,130,8.5,"[{'id': 10, 'name': 'Fantasy'}, {'id': 7, 'name': 'Mystery'}, {'id': 40, 'name': 'Psychological'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 27, 'name': 'Shounen'}, {'id': 76, 'name': 'Survival'}, {'id': 41, 'name': 'Suspense'}]",12,tv,"[{'id': 1835, 'name': 'CloverWorks'}]",2019-01-10
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,131,8.5,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 27, 'name': 'Shounen'}, {'id': 37, 'name': 'Supernatural'}]",39,tv,"[{'id': 287, 'name': 'David Production'}]",2016-04-02
Ansatsu Kyoushitsu 2nd Season,132,8.49,"[{'id': 1, 'name': 'Action'}, {'id': 4, 'name': 'Comedy'}, {'id': 23, 'name': 'School'}, {'id': 27, 'name': 'Shounen'}]",25,tv,"[{'id': 456, 'name': 'Lerche'}]",2016-01-08
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,133,8.49,"[{'id': 1, 'name': 'Action'}, {'id': 10, 'name': 'Fantasy'}, {'id': 37, 'name': 'Supernatural'}]",1,movie,"[{'id': 43, 'name': 'ufotable'}]",2019-01-12
Karakai Jouzu no Takagi-san Movie,134,8.49,"[{'id': 74, 'name': 'Romantic Subtext'}, {'id': 23, 'name': 'School'}, {'id': 27, 'name': 'Shounen'}]",1,movie,"[{'id': 247, 'name': 'Shin-Ei Animation'}]",2022-06-10
Kimetsu no Yaiba,135,8.49,"[{'id': 1, 'name': 'Action'}, {'id': 46, 'name': 'Award Winning'}, {'id': 10, 'name': 'Fantasy'}, {'id': 13, 'name': 'Historical'}, {'id': 27, 'name': 'Shounen'}]",26,tv,"[{'id': 43, 'name': 'ufotable'}]",2019-04-06
Mob Psycho 100,136,8.49,"[{'id': 1, 'name': 'Action'}, {'id': 4, 'name': 'Comedy'}, {'id': 31, 'name': 'Super Power'}, {'id': 37, 'name': 'Supernatural'}]",12,tv,"[{'id': 4, 'name': 'Bones'}]",2016-07-11
Uchuu Kyoudai,137,8.49,"[{'id': 50, 'name': 'Adult Cast'}, {'id': 4, 'name': 'Comedy'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 42, 'name': 'Seinen'}, {'id': 29, 'name': 'Space'}, {'id': 48, 'name': 'Workplace'}]",99,tv,"[{'id': 56, 'name': 'A-1 Pictures'}]",2012-04-01
Aria the Origination,138,8.48,"[{'id': 10, 'name': 'Fantasy'}, {'id': 63, 'name': 'Iyashikei'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 27, 'name': 'Shounen'}, {'id': 36, 'name': 'Slice of Life'}]",13,tv,"[{'id': 34, 'name': 'Hal Film Maker'}]",2008-01-08
Banana Fish,139,8.48,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 55, 'name': 'Delinquents'}, {'id': 8, 'name': 'Drama'}, {'id': 68, 'name': 'Organized Crime'}, {'id': 40, 'name': 'Psychological'}, {'id': 25, 'name': 'Shoujo'}, {'id': 41, 'name': 'Suspense'}]",24,tv,"[{'id': 569, 'name': 'MAPPA'}]",2018-07-06
Gintama: The Semi-Final,140,8.47,"[{'id': 1, 'name': 'Action'}, {'id': 4, 'name': 'Comedy'}, {'id': 57, 'name': 'Gag Humor'}, {'id': 13, 'name': 'Historical'}, {'id': 20, 'name': 'Parody'}, {'id': 21, 'name': 'Samurai'}, {'id': 27, 'name': 'Shounen'}]",2,special,"[{'id': 1258, 'name': 'Bandai Namco Pictures'}]",2021-01-15
Jujutsu Kaisen 0 Movie,141,8.47,"[{'id': 1, 'name': 'Action'}, {'id': 10, 'name': 'Fantasy'}, {'id': 23, 'name': 'School'}, {'id': 27, 'name': 'Shounen'}]",1,movie,"[{'id': 569, 'name': 'MAPPA'}]",2021-12-24
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,142,8.47,"[{'id': 46, 'name': 'Award Winning'}, {'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 66, 'name': 'Mahou Shoujo'}, {'id': 40, 'name': 'Psychological'}, {'id': 41, 'name': 'Suspense'}]",1,movie,"[{'id': 44, 'name': 'Shaft'}]",2013-10-26
Rainbow: Nisha Rokubou no Shichinin,143,8.47,"[{'id': 55, 'name': 'Delinquents'}, {'id': 8, 'name': 'Drama'}, {'id': 13, 'name': 'Historical'}, {'id': 42, 'name': 'Seinen'}, {'id': 41, 'name': 'Suspense'}]",26,tv,"[{'id': 11, 'name': 'Madhouse'}]",2010-04-07
Mo Dao Zu Shi: Wanjie Pian,144,8.46,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 13, 'name': 'Historical'}, {'id': 7, 'name': 'Mystery'}, {'id': 6, 'name': 'Mythology'}, {'id': 72, 'name': 'Reincarnation'}]",12,ona,"[{'id': 1350, 'name': 'B.CMAY PICTURES'}]",2021-08-07
Nichijou,145,8.46,"[{'id': 4, 'name': 'Comedy'}, {'id': 57, 'name': 'Gag Humor'}, {'id': 23, 'name': 'School'}, {'id': 27, 'name': 'Shounen'}]",26,tv,"[{'id': 2, 'name': 'Kyoto Animation'}]",2011-04-03
Road of Naruto,146,8.46,"[{'id': 1, 'name': 'Action'}, {'id': 10, 'name': 'Fantasy'}, {'id': 17, 'name': 'Martial Arts'}, {'id': 27, 'name': 'Shounen'}]",1,ona,"[{'id': 1, 'name': 'Pierrot'}]",2022-10-03
Shiguang Dailiren II,147,8.46,"[{'id': 50, 'name': 'Adult Cast'}, {'id': 8, 'name': 'Drama'}, {'id': 7, 'name': 'Mystery'}, {'id': 37, 'name': 'Supernatural'}, {'id': 41, 'name': 'Suspense'}, {'id': 78, 'name': 'Time Travel'}]",12,ona,"[{'id': 1774, 'name': 'LAN Studio'}]",2023-07-14
Yuu☆Yuu☆Hakusho,148,8.46,"[{'id': 1, 'name': 'Action'}, {'id': 10, 'name': 'Fantasy'}, {'id': 17, 'name': 'Martial Arts'}, {'id': 6, 'name': 'Mythology'}, {'id': 27, 'name': 'Shounen'}]",112,tv,"[{'id': 1, 'name': 'Pierrot'}]",1992-10-10
Bungou Stray Dogs 4th Season,149,8.46,"[{'id': 1, 'name': 'Action'}, {'id': 50, 'name': 'Adult Cast'}, {'id': 39, 'name': 'Detective'}, {'id': 7, 'name': 'Mystery'}, {'id': 68, 'name': 'Organized Crime'}, {'id': 42, 'name': 'Seinen'}, {'id': 31, 'name': 'Super Power'}, {'id': 37, 'name': 'Supernatural'}]",13,tv,"[{'id': 4, 'name': 'Bones'}]",2023-01-04
Chihayafuru 3,150,8.46,"[{'id': 8, 'name': 'Drama'}, {'id': 43, 'name': 'Josei'}, {'id': 64, 'name': 'Love Polygon'}, {'id': 23, 'name': 'School'}, {'id': 30, 'name': 'Sports'}, {'id': 11, 'name': 'Strategy Game'}]",24,tv,"[{'id': 11, 'name': 'Madhouse'}]",2019-10-23
Golden Kamuy 3rd Season,151,8.45,"[{'id': 1, 'name': 'Action'}, {'id': 50, 'name': 'Adult Cast'}, {'id': 2, 'name': 'Adventure'}, {'id': 13, 'name': 'Historical'}, {'id': 38, 'name': 'Military'}, {'id': 42, 'name': 'Seinen'}]",12,tv,"[{'id': 1393, 'name': 'Geno Studio'}]",2020-10-05
Owarimonogatari,152,8.45,"[{'id': 4, 'name': 'Comedy'}, {'id': 7, 'name': 'Mystery'}, {'id': 37, 'name': 'Supernatural'}, {'id': 32, 'name': 'Vampire'}]",12,tv,"[{'id': 44, 'name': 'Shaft'}]",2015-10-04
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,153,8.45,"[{'id': 8, 'name': 'Drama'}, {'id': 24, 'name': 'Sci-Fi'}]",1,movie,"[{'id': 314, 'name': 'White Fox'}]",2013-04-20
Yuru Camp△ Movie,154,8.45,"[{'id': 50, 'name': 'Adult Cast'}, {'id': 52, 'name': 'CGDCT'}, {'id': 63, 'name': 'Iyashikei'}, {'id': 36, 'name': 'Slice of Life'}]",1,movie,"[{'id': 1075, 'name': 'C-Station'}]",2022-07-01
Zoku Owarimonogatari,155,8.44,"[{'id': 4, 'name': 'Comedy'}, {'id': 7, 'name': 'Mystery'}, {'id': 37, 'name': 'Supernatural'}, {'id': 32, 'name': 'Vampire'}]",6,tv,"[{'id': 44, 'name': 'Shaft'}]",2019-05-19
Haikyuu!!,156,8.44,"[{'id': 23, 'name': 'School'}, {'id': 27, 'name': 'Shounen'}, {'id': 30, 'name': 'Sports'}, {'id': 77, 'name': 'Team Sports'}]",25,tv,"[{'id': 10, 'name': 'Production I.G'}]",2014-04-06
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,157,8.44,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 27, 'name': 'Shounen'}, {'id': 37, 'name': 'Supernatural'}]",24,tv,"[{'id': 287, 'name': 'David Production'}]",2015-01-10
